Embedding,Algorithm,Accuracy,Precision,F1_score,Recall,Mean_score,Rank
LexVec_CC_300d,LogisticRegression,0.9394891944990177,0.8522338700518426,0.8652459378702717,0.8904329441471316,0.8868504866420659,1.0
PDC,LogisticRegression,0.9383104125736739,0.8436520721156975,0.8572786345751353,0.886111571291756,0.8813381726390657,2.0
Glove_6B_300d,SVC,0.9394891944990177,0.8429145712763524,0.8547707515485594,0.8783578928761013,0.8788831025500077,3.0
Google_News,SVC,0.9379174852652259,0.8361279912826692,0.8511445505552494,0.8823856662084465,0.8768939233278977,4.0
Glove_6B_300d,LogisticRegression,0.9363457760314342,0.8395413307556123,0.8517632685853012,0.8771721231465635,0.8762056246297277,5.0
PDC,SVC,0.937524557956778,0.8357924613246174,0.8495877794087637,0.8809872822606503,0.8759730202377023,6.0
Glove_840B_300d,LogisticRegression,0.9339882121807466,0.8302267809767483,0.8474343621272574,0.8807797821098011,0.8731072843486383,7.0
ConceptNet_Numberbatch,SVC,0.9355599214145384,0.8326379301263228,0.8473791109339509,0.8759221046033396,0.872874766769538,8.0
LexVec_CC_300d,SVC,0.9379174852652259,0.8330141024835593,0.8468896243159809,0.8732679317850942,0.872772285962465,9.0
LexVec_WN_300d,LogisticRegression,0.9355599214145384,0.8337980125761018,0.8447670185590057,0.8725594402543311,0.8716710982009942,10.0
HDC,SVC,0.9355599214145384,0.8288404193407457,0.8432434784388254,0.8784312427852261,0.8715187654948339,11.0
LexVec_WN_300d,SVC,0.9339882121807466,0.8251414453950704,0.838817159714622,0.8689256957854514,0.8667181282689727,12.0
HDC,LogisticRegression,0.9332023575638507,0.8221100140196368,0.8355186009854335,0.8663192309042891,0.8642875508683026,13.0
FastText_SkipGram,SVC,0.9300589390962672,0.8209968299209255,0.8319319994134449,0.8616610723202566,0.8611622101877235,14.0
FastText_SkipGram,LogisticRegression,0.9269155206286837,0.815997702856404,0.8331513329000814,0.8656142079498558,0.8604196910837563,15.0
Glove_840B_300d,SVC,0.9304518664047151,0.8176382996344622,0.8304781622033397,0.8622055117333023,0.8601934599939549,16.0
Google_News,LogisticRegression,0.9277013752455796,0.8083542415106985,0.8256214115401863,0.8704790384501364,0.8580390166866502,17.0
FastText_CBOW,SVC,0.9277013752455796,0.8083371404621309,0.824455286842847,0.8629283799251195,0.8558555456189193,18.0
Glove_6B_300d,MLPClassifier,0.9265225933202358,0.8196336813419353,0.8257201406460075,0.846251583742197,0.8545319997625939,19.0
FastText_SkipGram,MLPClassifier,0.9210216110019647,0.8224793342232739,0.8257636298102788,0.8368055957994129,0.8515175427087326,20.0
Google_News,MLPClassifier,0.9269155206286837,0.825886937364655,0.825762168890126,0.8274471781969929,0.8515029512701144,21.0
PDC,MLPClassifier,0.9210216110019647,0.8115017123365296,0.8205968906670079,0.8383731564323081,0.8478733426094526,22.0
FastText_CBOW,MLPClassifier,0.9155206286836935,0.8221673970882963,0.8224188367051403,0.8278197796361422,0.846981660528318,23.0
Glove_840B_300d,MLPClassifier,0.9178781925343812,0.8161082099995036,0.8169655997415922,0.8266580997420756,0.8444025255043881,24.0
LexVec_WN_300d,MLPClassifier,0.9190569744597249,0.8149242726730884,0.8125624150114809,0.8112783425086625,0.8394555011632392,25.0
Google_News,ExtraTrees,0.9151277013752456,0.7761162264149788,0.8036529975801747,0.8614209501554316,0.8390794688814576,26.0
HDC,MLPClassifier,0.9159135559921414,0.8066081204818198,0.8048543364798122,0.8215434636932151,0.8372298691617471,27.0
LexVec_WN_300d,RandomForest,0.9135559921414538,0.7808225152339039,0.8028297110090021,0.8465772788700723,0.8359463743136081,28.0
Google_News,KNeighbors,0.9214145383104125,0.7862058601572298,0.7978626876556205,0.8340703351705948,0.8348883553234645,29.0
