Embedding,Algorithm,Accuracy,Precision,F1_score,Recall,Mean_score,Rank
FastText_CBOW,LogisticRegression,0.9241650294695481,0.8243050493118993,0.8344739363003415,0.8526653256333598,0.8589023351787871,1.0
Google_News,MLPClassifier,0.9292730844793713,0.8151268115544816,0.8270604517297871,0.8567766885128797,0.8570592590691299,2.0
ConceptNet_Numberbatch,MLPClassifier,0.9261296660117878,0.822273026189721,0.8281067816480461,0.8454057515624799,0.8554788063530087,3.0
FastText_CBOW,MLPClassifier,0.9218074656188605,0.8119929009654532,0.8243171311453632,0.8493241902634598,0.8518604219982842,4.0
Glove_840B_300d,LogisticRegression,0.9202357563850687,0.8068470069057329,0.8192595383351222,0.8437135448153734,0.8475139616103242,5.0
Glove_6B_300d,LogisticRegression,0.9210216110019647,0.8224655785029505,0.821032743626287,0.8234244173850045,0.8469860876290517,6.0
FastText_SkipGram,MLPClassifier,0.9194499017681729,0.8108315365627411,0.8200304625723207,0.8372220624414561,0.8468834908361726,7.0
Google_News,LogisticRegression,0.918664047151277,0.8101029231907716,0.8179591544800742,0.8334846805281443,0.8450527013375668,8.0
ConceptNet_Numberbatch,LogisticRegression,0.9210216110019647,0.8081404898329099,0.814993248617796,0.8278353420030062,0.8429976728639191,9.0
HDC,MLPClassifier,0.9178781925343812,0.7998081352933277,0.8121711018008391,0.8396345511134774,0.8423729951855063,10.0
Glove_6B_300d,MLPClassifier,0.9222003929273085,0.7997847794274331,0.8057075210012759,0.8320473551921628,0.839935012137045,11.0
Google_News,SVC,0.9210216110019647,0.783577586317034,0.8016800971186597,0.8448950015809775,0.8377935740046589,12.0
HDC,LogisticRegression,0.9151277013752456,0.8080923471708272,0.8105004364691882,0.8166853468357519,0.8376014579627532,13.0
PDC,LogisticRegression,0.9135559921414538,0.8037468051046014,0.8097754547437196,0.8193436741179275,0.8366054815269256,14.0
LexVec_WN_300d,MLPClassifier,0.918271119842829,0.7983439959279117,0.8044634805129939,0.8214844334911866,0.8356407574437303,15.0
PDC,MLPClassifier,0.9155206286836935,0.8122406264880879,0.8055619886499491,0.8069294305557868,0.8350631685943793,16.0
ConceptNet_Numberbatch,SVC,0.9210216110019647,0.7829913683610598,0.7992470136231286,0.8368649367562431,0.8350312324355991,17.0
LexVec_CC_300d,LogisticRegression,0.9104125736738703,0.7978292936379192,0.8054080932861271,0.8226037283858455,0.8340634222459405,18.0
FastText_CBOW,SVC,0.9115913555992141,0.765418416747099,0.7956669962879818,0.8563771483336483,0.8322634792419857,19.0
Glove_840B_300d,MLPClassifier,0.9131630648330059,0.7982784745734645,0.8019502509950854,0.8122190150609425,0.8314027013656246,20.0
LexVec_CC_300d,MLPClassifier,0.9174852652259332,0.785520595899982,0.7945526295235288,0.812066133981552,0.827406156157749,21.0
LexVec_WN_300d,SVC,0.9170923379174852,0.7688625612336681,0.7838403444231501,0.8231726412831569,0.823241971214365,22.0
Glove_6B_300d,SVC,0.9206286836935167,0.7672784360164697,0.7811569810624579,0.819783143972272,0.822211811186179,23.0
PDC,SVC,0.9131630648330059,0.7579451941393367,0.7764340072459183,0.8357385508312952,0.820820204262389,24.0
LexVec_CC_300d,SVC,0.9178781925343812,0.7635234467446117,0.7796745874849033,0.8207346940913433,0.8204527302138099,25.0
Glove_6B_300d,RandomForest,0.9108055009823183,0.7601014475443647,0.7787305045872321,0.8260315381023284,0.8189172478040609,26.0
LexVec_CC_300d,RandomForest,0.906090373280943,0.7519229843136677,0.7794360191953694,0.8346072765394948,0.8180141633323688,27.0
LexVec_WN_300d,RandomForest,0.9088408644400786,0.751248729169348,0.7726964156535503,0.81984767951422,0.8131584221942993,28.0
